projection_1,projection_2,projection_method,subtype_id,subtype,Luminal subtype signature,HER2-enriched subtype signature,Basal-like subtype signature
-6.968214,2.1062803,PCA,3,Basal-like,-0.8975812673679034,-0.6301451848296676,0.21264185132888974
2.376585,-4.538232,PCA,3,Basal-like,1.1221501123944713,-0.02952394114112531,-0.30302425919446985
21.107029,1.5279999,PCA,1,Luminal B,1.3268916860477717,0.40514638803491665,-1.2120111450300757
-4.603094,-3.863309,PCA,3,Basal-like,0.02371331306002839,-0.46935912702015414,0.5714162069046367
22.678514,2.9604344,PCA,1,Luminal B,1.8328122501573856,1.1907243662492428,-1.401708109364868
16.66525,1.2560849,PCA,1,Luminal B,-0.10268662962644669,0.9704664035529009,-1.1407912828837834
-5.5218115,8.889896,PCA,4,Normal-like,-0.9196149245074976,0.08906619876169913,-0.39842619120329026
-5.224189,-4.256173,PCA,3,Basal-like,-0.6963284639408284,-0.5052394950619811,0.457178886419054
-4.946898,1.1584969,PCA,3,Basal-like,-0.4628713213386337,-0.48127141368225795,0.7099993412742465
0.7009765,-4.881856,PCA,0,Luminal A,0.5247704181711581,-0.25895634069099105,0.1019869845561189
-4.09797,-4.4391932,PCA,3,Basal-like,-0.023524187905592825,-0.33309756751374986,0.872024772037087
-6.257969,8.909567,PCA,4,Normal-like,-0.6985197649131902,-0.27381640844599936,0.5669978814679869
-1.7526555,-6.0219593,PCA,3,Basal-like,0.5626217234928149,-0.18277161263444497,0.09544669065271191
-6.6088166,12.088621,PCA,4,Normal-like,-0.855309339618998,-0.23790942232382933,0.0390621690799159
-3.487228,-0.82583,PCA,3,Basal-like,0.010766035064374683,-0.4284393135262195,0.9060701061064032
-3.5233827,-2.2773342,PCA,3,Basal-like,0.011944548358378139,-0.6311432383553034,1.0162137906058963
-6.1223125,-3.0532868,PCA,3,Basal-like,-0.43636214336578216,-0.5079840333132588,1.2011865325906614
-4.789671,-4.9439507,PCA,3,Basal-like,-0.10995184228650395,0.1340250621560468,0.759448448239035
-9.010065,14.812672,PCA,4,Normal-like,-0.8179177533356073,-0.06960568373917686,0.8583614032880549
-2.0316203,-5.6330514,PCA,3,Basal-like,-0.25647417995901833,-0.7664793783470383,-0.786995818698126
3.2025244,-4.234913,PCA,0,Luminal A,1.467141820703752,0.4040492669377724,-1.0570533330631757
-9.6644745,12.577732,PCA,3,Basal-like,-0.857825489522584,-0.4964685624926639,1.0442940186649692
-6.247351,8.809509,PCA,4,Normal-like,-0.9827949231995401,-0.7288533318565642,-0.061450946174180954
19.578407,0.8762393,PCA,1,Luminal B,1.2113033716922492,0.023532719975481897,-1.4649291845651053
-5.9501853,-1.4714179,PCA,3,Basal-like,-0.5880261673158073,-0.24284034135939636,0.9497723722338924
-2.1609075,-5.0442033,PCA,3,Basal-like,-0.34969964860731384,-0.6148801333357389,-0.08960489478051102
2.634984,-3.9588923,PCA,0,Luminal A,0.8478618350328818,0.2806875179079591,-0.012362040555674487
2.3430886,-4.375613,PCA,0,Luminal A,0.5816424493120064,0.023612716446704665,-1.4137615755129895
2.2693467,-4.627673,PCA,0,Luminal A,0.6410283735270762,0.11677165244947713,0.06346350932698203
0.912825,-4.272196,PCA,0,Luminal A,0.015344659839212613,0.09061707508304051,-0.08947456273719578
0.4987469,-4.8779063,PCA,4,Normal-like,0.6977356583280954,-0.3643272112179019,-0.3498586689436732
-7.0982327,-1.6790497,PCA,3,Basal-like,-0.860182435701782,-0.35844361666533897,0.9630546027249679
18.527842,0.32000732,PCA,1,Luminal B,0.4619066061322421,1.3477922073551574,-1.9098242696978402
9.973944,11.4716015,PCA,2,HER2-enriched,-0.15173483263880763,0.850223881228016,-1.1084259470234314
-5.450379,-3.3365219,PCA,3,Basal-like,-0.30003919545624813,-0.3831306001820683,0.41791093874735497
